select_0,select_1,select_2,select_3,select_4,select_5,select_6,select_7,select_8,select_9,select_10,select_11,select_12,select_13,select_14,select_15,select_16,label
0.997119486,-1.102930665,-2.672477484,2.172196388,-0.662098229,-12.67984676,3.164320946,-2.377787828,0.915340602,-7.276883602,2.945330858,-12.64499378,1.030513048,-8.203052521,-4.25186491,-0.137993068,-4.978643894,94
1.187290668,-1.142981052,-3.345733881,2.51318264,0.883446634,-12.27001286,3.293369532,-2.217126608,-5.258778095,-5.749443531,2.023737907,-12.2166729,1.365500331,-8.266012192,-4.809704304,0.069611564,-5.342162132,52
1.084110975,3.040081263,-2.4192276,2.181043386,-1.025704384,-12.78917217,3.242861032,-3.05339098,0.151130125,-11.2734499,3.434140921,-12.77040005,0.9143278,-6.518544197,-3.857358217,-2.120498419,-5.152432442,54
1.164190173,-0.626629055,-2.791886568,2.657286406,1.033751011,-12.50420761,3.263009071,-1.917125225,-4.409077644,-6.551540375,2.048373699,-12.46860027,1.274211645,-8.27278614,-4.634718418,0.093343154,-4.769209862,40
1.133356929,-0.954934299,-3.054187536,2.430736065,0.881655335,-12.29294968,3.250611305,-2.108056784,-4.748680592,-6.521961212,2.024207115,-12.24984169,1.299281359,-8.384357452,-4.762037277,0.070812911,-5.183904171,74
1.17690444,2.814538479,-2.571862459,2.68157649,1.377565384,-12.68762112,3.277880907,-2.755261898,-5.332636833,-7.846622944,3.059748888,-12.63391304,1.283092022,-7.277029991,-4.897407055,0.094690129,-4.097668171,24
1.021291494,0.865039289,-2.380745649,2.535180092,0.921571791,-12.89302731,3.172928572,-2.133509398,-5.057192802,-7.47336483,2.894928455,-12.85009384,1.111818075,-7.986077785,-4.753042698,0.040581122,-4.708269596,63
1.044681907,-1.962282419,-2.776335001,2.358710527,0.163684115,-12.8745575,3.183109522,-1.969210267,0.850600779,-6.791820526,2.879729509,-12.8372736,1.026563883,-8.441230774,-4.292443752,-0.082962602,-5.0044837,77
1.145171523,-0.072586089,-2.815196753,2.486683607,0.888596356,-12.25536537,3.249663591,-1.923322678,-4.413648129,-6.572502613,2.038882971,-12.21556282,1.277790427,-8.337410927,-4.601346016,-1.712045074,-5.30047369,53
1.038978338,0.512174547,-2.897751331,2.465961933,0.946260214,-12.44655323,3.208982706,-2.212059736,-4.596399307,-6.774473667,2.739227772,-12.40442657,1.363394499,-8.472774506,-4.68705368,-1.951451063,-5.249596119,9
